"feature"	"structurePerIdRank"	"formulaRank"	"ConfidenceScoreExact"	"ConfidenceScoreApproximate"	"CSI.FingerIDScore"	"ZodiacScore"	"SiriusScore"	"molecularFormula"	"adduct"	"precursorFormula"	"InChIkey2D"	"InChI"	"name"	"smiles"	"xlogp"	"pubchemids"	"links"	"dbflags"	"ionMass"	"retentionTimeInSeconds"	"retentionTimeInMinutes"	"formulaId"	"alignedFeatureId"	"mappingFeatureId"	"overallFeatureQuality"	"NPC.pathway"	"NPC.pathway.Probability"	"NPC.superclass"	"NPC.superclass.Probability"	"NPC.class"	"NPC.class.Probability"	"ClassyFire.superclass"	"ClassyFire.superclass.probability"	"ClassyFire.class"	"ClassyFire.class.Probability"	"ClassyFire.subclass"	"ClassyFire.subclass.Probability"	"ClassyFire.level.5"	"ClassyFire.level.5.Probability"	"ClassyFire.most.specific.class"	"ClassyFire.most.specific.class.Probability"	"ClassyFire.all.classifications"	"Avena.sativa"	"Chelidonium.majus"	"Cinchona.pubescens"	"Citrullus.colocynthis."	"Colon.Suis.D4"	"Cynara.scolymus"	"Duodenum.Suis.D4"	"Hepar.comp.Ampoules..Bulk.mat.52324."	"Hepar.Suis.D4"	"Hepeel.ampoule.solution..Bulk"	"Lycopodium.clavatum"	"Mixture.analogue.Hepar"	"Mixture.analogue.Hepeel."	"Myristica.fragrans."	"Negative.Control"	"Negative.control..Wfi.with.NaCl."	"Pankreas.Suis.D4"	"positive.Control"	"Silybum.marianum."	"Taraxacum.officinale"	"Thymus.Suis.D4"	"Veratrum.album"	"Vesica.Fellea.Suis.D4"
"P_6410"	1	1	0.469	0.85	-68.613	NA	45.316	"C12H24O3"	"[M - H4O2 + H]+"	"C12H21O+"	"ZDHCZVWCTKTBRY"	"InChI=1S/C12H24O3/c13-11-9-7-5-3-1-2-4-6-8-10-12(14)15/h13H,1-11H2,(H,14,15)"	"12-Hydroxylauric Acid"	"C(CCCCCC(=O)O)CCCCCO"	3.417	"9548810;76973410;129010166;79034"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0002059 HMDB0304547);BloodExposome:(79034 9548810);LIPIDMAPS:(LMFA01050039);SUPERNATURAL:(SN0467306);MESH:(79034 9548810);FooDB:(FDB031312);PUBCHEM:(9548810 76973410 129010166 79034);COCONUT:(CNP0273728);NORMAN:(NS00014775);METACYC:(CPD-12282);PLANTCYC:(CPD-12282);CHEBI:(39567 36204);KEGG:(C08317);DSSTox:(DTXSID601285956 DTXSID90198521);LOTUS:(Q27070761);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(ZDHCZVWCTKTBRY-UHFFFAOYSA-N)"	140449810814	181.156	775	12.921	637176094457138304	637163533090084736	6410	NA	"Fatty acids"	1	"Fatty Acids and Conjugates"	0.993	"Hydroxy fatty acids"	0.998	"Organic acids and derivatives"	0.988	"Hydroxy acids and derivatives"	0.703	"Medium-chain hydroxy acids and derivatives"	0.646	""	NA	"Medium-chain hydroxy acids and derivatives"	0.646	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Medium-chain hydroxy acids and derivatives; Organooxygen compounds; Straight chain fatty acids; Hydroxy fatty acids; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	1242	5935	1890	1267	835	2454	1316	613	1206	471	289288	163976	90508	5080	696	853	740	1277	7814	4005	926	6075	660
"P_41575"	1	1	0.384	0.384	-167.279	NA	51.203	"C32H56O2"	"[M + H]+"	"C32H57O2+"	"SNEYJAVQXJPFIT"	"InChI=1S/C32H56O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32(33)34/h24-31H,2-23H2,1H3,(H,33,34)"	"(2Z,4Z,6Z,8Z)-dotriaconta-2,4,6,8-tetraenoic acid"	"CCCCCCCCCCCCCCCCCCCCCCCC=CC=CC=CC=CC(=O)O"	14.3	"20839122;6438520;3035503"	"MESH:(6438520);PUBCHEM:(20839122 6438520 3035503);PUBMED"	70	473.431	775	12.922	637371650698844032	637165082164165888	41575	NA	"Fatty acids"	0.869	"Fatty Acids and Conjugates"	0.609	"Unsaturated fatty acids"	0.759	"Lipids and lipid-like molecules"	0.96	"Fatty Acyls"	0.682	""	NA	""	NA	"Fatty Acyls"	0.682	"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	546	416	112	105	72	63	100	35	91	119	138535	102419	102591	163	331	178	77	276	156	45	184	144	71
"P_19754"	1	2	0.293	0.492	-140.386	NA	21.914	"C19H34O4"	"[M + H]+"	"C19H35O4+"	"FHGZOCAZNHYWAL"	"InChI=1S/C19H34O4/c1-3-4-5-6-7-8-9-10-11-12-13-14-19(23-17(2)21)15-18(22)16-20/h1,18-20,22H,4-16H2,2H3"	"1,2-dihydroxyheptadec-16-yn-4-yl acetate"	"CC(=O)OC(CCCCCCCCCCCC#C)CC(CO)O"	4.9	"26500367;26500368;26500369;26500371;45782986"	"PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0200913);HMDB:(HMDB0031049);CHEBI:(171809);LIPIDMAPS:(LMFA05000645);SUPERNATURAL:(SN0085696);FooDB:(FDB003044);PUBCHEM:(26500367 26500368 26500369 26500371 45782986);DSSTox:(DTXSID601288405);LOTUS:(Q104995255);PUBCHEMANNOTATIONDRUG:(null)"	140445220906	327.252	776	12.937	637213181810590848	637164062314846848	19754	NA	"Fatty acids"	0.997	"Fatty acyls"	0.948	"Fatty alcohols"	0.985	"Lipids and lipid-like molecules"	0.966	"Fatty Acyls"	0.938	"Fatty alcohols"	0.798	"Long-chain fatty alcohols"	0.865	"Long-chain fatty alcohols"	0.865	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Carboxylic acid derivatives; Monoacylglycerols; Monocarboxylic acids and derivatives; Carboxylic acid esters; Fatty alcohols; Secondary alcohols; Fatty alcohol esters; Carbonyl compounds; Long-chain fatty alcohols; Monoradylglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	604	239	655	429	367	5776	1452	707	608	2126	580	1499	5527	88793	1004	400	761	2335	1867	1522	1006	1029	641
"P_15235"	1	1	0.205	0.384	-76.218	NA	129.454	"C18H30O2"	"[M + H]+"	"C18H31O2+"	"CUXYLFPMQMFGPL"	"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h5-10H,2-4,11-17H2,1H3,(H,19,20)"	"Alpha-Esa"	"CCCCC=CC=CC=CCCCCCCCC(=O)O"	5.863	"5281126;5281115;5282820;5312498;5322021;5385589;42433500;129649796;129717446;134688634;160046675;140536340;25201110;25244346;25244650;92528561;93077;12309425;132891588;132891589"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0030963 HMDB0248208);BloodExposome:(93077 5282820 5281115 12309425 5385589 5281126);LIPIDMAPS:(LMFA01030146 LMFA01030147 LMFA01030148 LMFA01030347 LMFA01030883 LMFA01030923);SUPERNATURAL:(SN0056288);MESH:(93077 5281126 5282820 5385589 12309425);FooDB:(FDB012466);PUBCHEM:(5281126 5281115 5282820 5312498 5322021 5385589 42433500 129649796 129717446 134688634 160046675 140536340 25201110 25244346 25244650 92528561 93077 12309425 132891588 132891589);COCONUT:(CNP0242263);NORMAN:(NS00018678 NS00080307 NS00080339 NS00084798);METACYC:(CPD-8229 CPD-8231);CHEBI:(180184 10275 38384 8638 38382 38383 180171);KEGG:(C08364 C08315);DSSTox:(DTXSID00870604 DTXSID00897457 DTXSID10897463 DTXSID901016803 DTXSID901026854);LOTUS:(Q104970576 Q104970574 Q646902 Q27117716 Q27117708 Q201502 Q104970581 Q2823242 Q2712733);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null);KNAPSACK:(CUXYLFPMQMFGPL-UHFFFAOYSA-N)"	140449679742	279.232	776	12.939	637197318942718848	637163888020521728	15235	NA	"Fatty acids"	1	"Fatty Acids and Conjugates"	0.991	"Unsaturated fatty acids"	0.991	"Lipids and lipid-like molecules"	0.993	"Fatty Acyls"	0.991	"Lineolic acids and derivatives"	0.732	""	NA	"Lineolic acids and derivatives"	0.732	"Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Straight chain fatty acids; Unsaturated fatty acids; Lineolic acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	32507	49087	2297595	344028	2595	380995	21092	1540	27640	3287	201700	455869	258552	52165	1998	3748	6754	18628	2759977	269303	17843	506872	12650
"P_38180"	1	1	0.36	0.416	-220.243	NA	28.588	"C26H43NO5"	"[M + H]+"	"C26H44NO5+"	"GHCZAUBVMUEKKP"	"InChI=1S/C26H43NO5/c1-15(4-7-22(30)27-14-23(31)32)18-5-6-19-24-20(9-11-26(18,19)3)25(2)10-8-17(28)12-16(25)13-21(24)29/h15-21,24,28-29H,4-14H2,1-3H3,(H,27,30)(H,31,32)"	"Gudca"	"CC(CCC(=O)NCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C"	4.3	"118554507;154731432;86310766;86310768;86312246;86312248;86328252;86331068;86331070;17753896;124784355;124899320;124899321;124899323;124902784;124902786;124902792;124905412;9548796;9933432;159623905;53391261;53477907;163025202;155908804;163198935;94029808;163337735;16213700;126482406;134555903;134692575;22808055;22808456;22833540;58104997;137349097;124335016;124350391;124350392;124422684;162642210;97629473;119081205;76329458;56606329;126963422;126968461;92131216;92450270;91746178;91798922;10095257;3462523;10389035;133109218;99564957;99564958;99564959;99566017;129010197;129317599;142492682;131632351;131708878;139024238;45039362;45039364;45052109;139291853;139291854;70420975;10994028;12544;27929;93353;25796450;440686;46839357;12310284;12310285;12310287;12310288;12310290;12310291;133612048;133688432;133688440;122361926;49874127;90474429;71317152;44312819;57696971"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0000637 HMDB0000708 HMDB0006898 HMDB0242392);MiMeDB:(MMDBc0057237 MMDBc0000128 MMDBc0000365);TeroMol:(TKC109621 TKC206670);BloodExposome:(133612048 23664011 126968461 22808055 137795027 27929 90474429 91746178 12310288 9548796 93353 440686 12544);LIPIDMAPS:(LMST05030008 LMST05030016);SUPERNATURAL:(SN0105607);MESH:(12544 27929 93353 12310288 90474429 126968461 129317599);FooDB:(FDB022157 FDB024145);PUBCHEM:(118554507 154731432 86310766 86310768 86312246 86312248 86328252 86331068 86331070 17753896 124784355 124899320 124899321 124899323 124902784 124902786 124902792 124905412 9548796 9933432 159623905 53391261 53477907 163025202 155908804 163198935 94029808 163337735 16213700 126482406 134555903 134692575 22808055 22808456 22833540 58104997 137349097 124335016 124350391 124350392 124422684 162642210 97629473 119081205 76329458 56606329 126963422 126968461 92131216 92450270 91746178 91798922 10095257 3462523 10389035 133109218 99564957 99564958 99564959 99566017 129010197 129317599 142492682 131632351 131708878 139024238 45039362 45039364 45052109 139291853 139291854 70420975 10994028 12544 27929 93353 25796450 440686 46839357 12310284 12310285 12310287 12310288 12310290 12310291 133612048 133688432 133688440 122361926 49874127 90474429 71317152 44312819 57696971);GNPS:(CCMSLIB00003137703);COCONUT:(CNP0302660);NORMAN:(NS00015130 NS00069559);METACYC:(CPD-25857 GLYCOCHENODEOXYCHOLIC_ACID);CHEBI:(89929 87818 36252 190405 132030 180956 36274 180948);KEGG:(C05466);DSSTox:(DTXSID201036173 DTXSID20862344 DTXSID301020165 DTXSID401167643 DTXSID60945403);LOTUS:(Q115966196 Q5572600 Q27077819);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)"	141531814254	450.322	777	12.95	637336017632122752	637164921375505536	38180	NA	"Fatty acids"	0.914	"Steroids"	0.633	"Cholane steroids"	0.893	"Lipids and lipid-like molecules"	0.991	"Steroids and steroid derivatives"	0.869	"Bile acids, alcohols and derivatives"	0.948	"Glycinated bile acids and derivatives"	0.951	"Glycinated bile acids and derivatives"	0.951	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Glycinated bile acids and derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Cyclic alcohols and derivatives; Hydroxysteroids; Bile acids, alcohols and derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Hydroxy bile acids, alcohols and derivatives; N-acyl-alpha amino acids; 3-hydroxysteroids; 7-hydroxysteroids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	3575	777	2799	10893	5818	2833	6111	5134	4426	1409	317874	48320	35239	1349	4344	3604	5167	3808	83939	769	2271	3678	6333
"P_27999"	1	1	0.891	0.937	-27.398	NA	58.503	"C27H44O"	"[M + H]+"	"C27H45O+"	"NYOXRYYXRWJDKP"	"InChI=1S/C27H44O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h17-19,22-25H,6-16H2,1-5H3"	"Cholestenone"	"CC(C)CCCC(C)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C"	7.792	"134458030;102602314;124903274;124903275;51521445;9821466;163321895;76974111;16401110;51421552;129847505;7002052;7002053;7059410;7091685;7091686;7163287;7543587;7543628;124427152;162992313;146165635;156716414;56846550;129448949;142330808;1551110;1768412;1768413;1768414;11395010;440;91477;12120345;12284307;12284308;12284314;12284315;11869370;11869371;11869372;11869373;11875865;11875866;11887412;11907761;11907762;44135458;143806473;2752865"	"PUBCHEMANNOTATIONBIO;HMDB:(HMDB0000921);MiMeDB:(MMDBc0000379);TeroMol:(TKC119217);PUBCHEMANNOTATIONSAFETYANDTOXIC;BloodExposome:(440 91477);LIPIDMAPS:(LMST01010015);SUPERNATURAL:(SN0258673);MESH:(91477);FooDB:(FDB022319);PUBCHEM:(134458030 102602314 124903274 124903275 51521445 9821466 163321895 76974111 16401110 51421552 129847505 7002052 7002053 7059410 7091685 7091686 7163287 7543587 7543628 124427152 162992313 146165635 156716414 56846550 129448949 142330808 1551110 1768412 1768413 1768414 11395010 440 91477 12120345 12284307 12284308 12284314 12284315 11869370 11869371 11869372 11869373 11875865 11875866 11887412 11907761 11907762 44135458 143806473 2752865);GNPS:(CCMSLIB00003137024);COCONUT:(CNP0265358);NORMAN:(NS00014741);METACYC:(CPD-323 CPD-8916 SMA-0000123);CHEBI:(16175 180953);KEGG:(C00599);DSSTox:(DTXSID90872379);LOTUS:(Q27098418 Q105187611);PUBCHEMANNOTATIONDRUG;PUBMED;KNAPSACK:(NYOXRYYXRWJDKP-UHFFFAOYSA-N)"	141598923134	385.346	778	12.959	637248973700404224	637164446903204224	27999	NA	"Terpenoids"	0.999	"Steroids"	0.998	"Cholestane steroids"	0.79	"Lipids and lipid-like molecules"	0.996	"Steroids and steroid derivatives"	0.996	"Oxosteroids"	0.976	"3-oxosteroids"	0.979	"3-oxo delta-4-steroids"	0.926	"Organic compounds; Lipids and lipid-like molecules; Ketones; Steroids and steroid derivatives; Organooxygen compounds; Oxosteroids; Carbonyl compounds; 3-oxo delta-4-steroids; Delta-4-steroids; 3-oxosteroids; Cyclic ketones; Organic oxides; Hydrocarbon derivatives; Cyclohexenones; Organic oxygen compounds; Chemical entities"	1833	982	4175	1462	459	686	549	438	1495	1548	500	3647	18801	294	698	10970	585	1056	5588	1415	48394	948	966
"P_23191"	1	1	0.648	0.763	-112.738	NA	216.265	"C21H40O4"	"[M + H]+"	"C21H41O4+"	"RZRNAYUHWVFMIP"	"InChI=1S/C21H40O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(24)25-19-20(23)18-22/h9-10,20,22-23H,2-8,11-19H2,1H3"	"Monoolein"	"CCCCCCCCC=CCCCCCCCC(=O)OCC(CO)O"	6.068	"5283468;5364833;25021708;71751310;153928748;164414016;54294270;54294271;54294273;11451146;33022;46840179;12178130;57332638"	"PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0011567 HMDB0254854);MiMeDB:(MMDBc0000645 MMDBc0045193 MMDBc0054111);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(5283468 33022 12178130 5364833);LIPIDMAPS:(LMGL01010005);SUPERNATURAL:(SN0339593);HSDB:(25496-72-4);MESH:(33022 5283468 5364833 11451146 12178130);FooDB:(FDB028280);PUBCHEM:(5283468 5364833 25021708 71751310 153928748 164414016 54294270 54294271 54294273 11451146 33022 46840179 12178130 57332638);GNPS:(CCMSLIB00003135988 CCMSLIB00003138956);COCONUT:(CNP0209532);NORMAN:(NS00009429 NS00071946 NS00076894 NS00102385);METACYC:(CPD-11690);CHEBI:(75938 180958 75342 131342 75757);DSSTox:(DTXSID0052831 DTXSID3042003 DTXSID40858249 DTXSID40859195);LOTUS:(Q27145647 Q105248564 Q27071132 Q105248561 Q27145531 Q105248563);PUBCHEMANNOTATIONDRUG:(null);PUBCHEMANNOTATIONFOOD:(null);PUBMED:(null);KNAPSACK:(RZRNAYUHWVFMIP-UHFFFAOYSA-N)"	141724752510	357.3	779	12.98	637227157249335168	637164218502356224	23191	NA	"Fatty acids"	1	"Glycerolipids"	0.995	"Monoacylglycerols"	0.998	"Lipids and lipid-like molecules"	0.998	"Glycerolipids"	0.988	"Monoradylglycerols"	0.991	"Monoacylglycerols"	0.984	"1-monoacylglycerols"	0.943	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Monoacylglycerols; Monocarboxylic acids and derivatives; Carboxylic acid esters; 1-monoacylglycerols; Secondary alcohols; Carbonyl compounds; Polyols; 1,2-diols; Monoradylglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	1127	0	1411	8447	892	475	0	455	0	4725	16312	69158	4618	26724	1480	1508	380	4122	8479	526	1446	7383	253
"P_20857"	1	1	0.217	0.339	-113.776	NA	116.766	"C22H43NO"	"[M + H]+"	"C22H44NO+"	"COUPDYRANTUKKV"	"InChI=1S/C22H43NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h16-17H,2-15,18-21H2,1H3,(H2,23,24)"	"docos-6-enamide"	"CCCCCCCCCCCCCCCC=CCCCCC(=O)N"	8.8	"53732411;44584605"	"COCONUT:(CNP0282270);CHEBI:(69545);SUPERNATURAL:(SN0051587);PUBCHEM:(53732411 44584605);LOTUS:(Q104967308 Q27137884);PUBMED:(null)"	271581282	338.341	779	12.982	637217696165552384	637164112621334528	20857	NA	"Fatty acids"	1	"Fatty amides"	1	"Primary amides"	1	"Lipids and lipid-like molecules"	0.876	"Fatty Acyls"	0.893	"Fatty amides"	0.874	""	NA	"Fatty amides"	0.874	"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; Primary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	21769	5933	8886	25458	2920	14166	3723	2351	1904	303	14909	29269	32311	9820	1605	677	2749	822	15525	30840	3225	14724	2338
"P_13104"	1	1	0.718	0.718	-77.168	NA	69.922	"C16H33NO"	"[M + H]+"	"C16H34NO+"	"FQXSTGKJHBFSIQ"	"InChI=1S/C16H33NO/c1-4-5-6-7-8-9-10-11-12-13-14-15-16(18)17(2)3/h4-15H2,1-3H3"	"Dimethyl(tetradecanoyl)azanium"	"CCCCCCCCCCCCCC(=O)N(C)C"	5.397	"153806721;76388"	"NORMAN:(NS00028867);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);CHEBI:(146190);PUBCHEM:(153806721 76388);DSSTox:(DTXSID8062787);PUBMED:(null)"	137506324578	256.264	781	13.01	637190633590396032	637163804000213376	13104	NA	"Fatty acids"	0.999	"Fatty amides"	0.998	"Primary amides"	0.935	"Lipids and lipid-like molecules"	0.911	"Fatty Acyls"	0.9	"Fatty amides"	0.926	"N-acyl amines"	0.83	"N-acyl amines"	0.83	"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Tertiary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	68421	49868	44374	87978	117107	60854	107331	111882	100790	99513	72288	44194	59754	58284	151208	104273	95852	104062	277425	83709	114616	82983	124538
"P_34814"	1	1	0.175	0.592	-361.758	NA	44.161	"C27H45NO5"	"[M - H4O2 + H]+"	"C27H42NO3+"	"HHGKPVQSNIVPPF"	"InChI=1S/C27H45NO5/c1-15(5-8-23(31)28-16(2)25(32)33)19-6-7-20-24-21(10-12-27(19,20)4)26(3)11-9-18(29)13-17(26)14-22(24)30/h15-22,24,29-30H,5-14H2,1-4H3,(H,28,31)(H,32,33)"	""	"CC(CCC(=O)NC(C)C(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C"	4.7	"86107595;156132039;163134155;155250588;155250589;145740400"	"PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0447877);HMDB:(HMDB0242390);MiMeDB:(MMDBc0057235);CHEBI:(176830);SUPERNATURAL:(SN0125552);PUBCHEM:(86107595 156132039 163134155 155250588 155250589 145740400);GNPS:(CCMSLIB00005465993)"	1093668906	428.316	781	13.014	637302285893654272	637164761987742720	34814	NA	"Fatty acids"	0.581	"Fatty amides"	0.744	"N-acyl amines"	0.923	"Lipids and lipid-like molecules"	0.988	"Steroids and steroid derivatives"	0.423	"Bile acids, alcohols and derivatives"	0.745	"Glycinated bile acids and derivatives"	0.84	"Glycinated bile acids and derivatives"	0.84	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenethylamines; Amphetamines and derivatives; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Glycinated bile acids and derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Bile acids, alcohols and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Hydroxy bile acids, alcohols and derivatives; Benzene and substituted derivatives; N-acyl-alpha amino acids; Benzenoids; Phenylpropanoic acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Phenylalanine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	18698	901	3767	2016	1881	1410	978	1758	1082	501	507133	248451	264397	3126	1785	751	2475	1183	797390	16302	2027	125635	1426
"P_25977"	1	2	0.102	0.429	-212.001	NA	11.729	"C24H36O3"	"[M + H]+"	"C24H37O3+"	"WCFIGQHNBJXROP"	"InChI=1S/C24H36O3/c1-15(4-9-22(26)27)19-7-8-20-18-6-5-16-14-17(25)10-12-23(16,2)21(18)11-13-24(19,20)3/h14-15,18-21H,4-13H2,1-3H3,(H,26,27)"	"4-{9a,11a-dimethyl-7-oxo-1H,2H,3H,3aH,3bH,4H,5H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-1-yl}pentanoic acid"	"CC(CCC(=O)O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C"	5.4	"50990741;5283990;23425407;134688614;161464265;146037165;146346633;126582373;13825376;153160233;159621"	"COCONUT:(CNP0229470);TeroMol:(TKC113911);METACYC:(CPD0-2427 CPD-23238);CHEBI:(176827);LIPIDMAPS:(LMST04010233);SUPERNATURAL:(SN0406386);MESH:(159621 5283990 134688614);PUBCHEM:(50990741 5283990 23425407 134688614 161464265 146037165 146346633 126582373 13825376 153160233 159621);DSSTox:(DTXSID90932528);LOTUS:(Q76294606);GNPS:(CCMSLIB00005465719);PUBMED:(null);KNAPSACK:(WCFIGQHNBJXROP-UHFFFAOYSA-N)"	139866413174	373.271	781	13.017	637238626226098048	637164353022087808	25977	NA	"Terpenoids"	0.963	"Steroids"	0.99	"Cholane steroids"	0.629	"Lipids and lipid-like molecules"	0.975	"Steroids and steroid derivatives"	0.949	"Oxosteroids"	0.525	""	NA	"Oxosteroids"	0.525	"Organic compounds; Lipids and lipid-like molecules; Ketones; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Oxosteroids; Carboxylic acid esters; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	7303	27712	13465	5215	6047	3521	7235	8294	6327	1109	22817	22009	11974	9601	4718	3923	6516	3838	4143	8968	5590	20306	9152
"P_12447"	1	1	0.332	0.332	-163.415	NA	49.949	"C16H26O3"	"[M - H2O + H]+"	"C16H25O2+"	"PWMRSBPOXWIARE"	"InChI=1S/C16H26O3/c1-11-5-6-13-15(2,12(11)7-10-17)8-4-9-16(13,3)14(18)19/h12-13,17H,1,4-10H2,2-3H3,(H,18,19)"	"Botryosphaerin C"	"CC12CCCC(C1CCC(=C)C2CCO)(C)C(=O)O"	3	"74941980;44179847"	"COCONUT:(CNP0218599);TeroMol:(TKC015546);SUPERNATURAL:(SN0297021);PUBCHEM:(74941980 44179847);LOTUS:(Q77496500)"	279969794	249.184	782	13.034	637188574107136128	637163778440121600	12447	NA	"Terpenoids"	0.972	"Sesquiterpenoids"	0.57	"Norlabdane diterpenoids"	0.032	"Lipids and lipid-like molecules"	0.827	""	NA	""	NA	""	NA	"Lipids and lipid-like molecules"	0.827	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Cyclic alcohols and derivatives; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	409	3218	6677	996	488	3464	1187	894	726	1111	22118	22658	6499	332	1236	926	897	858	7061	27541	1428	3319	616
